line,hour,day_of_week,month,is_weekend,time_category,is_peak_hour,is_noon_peak,is_peak_day,day_peak_weight,office_occupancy,is_strike,line_status,disruption_level
Bakerloo,14,Monday,February,0,noon_peak,1,1,0,0.6,0.415,1,1,High
Bakerloo,16,Monday,February,0,afternoon,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,16,Monday,February,0,afternoon,1,0,0,0.6,0.415,1,1,High
Bakerloo,17,Monday,February,0,evening_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,17,Monday,February,0,evening_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,18,Monday,February,0,evening_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,18,Monday,February,0,evening_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,19,Monday,February,0,evening_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,19,Monday,February,0,evening_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,20,Monday,February,0,evening_peak,0,0,0,0.6,0.415,0,1,Low
Bakerloo,20,Monday,February,0,evening_peak,0,0,0,0.6,0.415,1,1,Medium
Bakerloo,22,Monday,February,0,night,0,0,0,0.6,0.415,0,1,Low
Bakerloo,22,Monday,February,0,night,0,0,0,0.6,0.415,1,1,Medium
Bakerloo,6,Monday,March,0,night,0,0,0,0.6,0.415,0,1,Low
Bakerloo,6,Monday,March,0,night,0,0,0,0.6,0.415,1,1,Medium
Bakerloo,7,Monday,March,0,morning_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,7,Monday,March,0,morning_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,8,Monday,March,0,morning_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,8,Monday,March,0,morning_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,9,Monday,March,0,morning_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,9,Monday,March,0,morning_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,10,Monday,March,0,morning_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,10,Monday,March,0,morning_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,12,Monday,March,0,noon_peak,1,1,0,0.6,0.415,0,1,Medium
Bakerloo,12,Monday,March,0,noon_peak,1,1,0,0.6,0.415,1,1,High
Bakerloo,13,Monday,March,0,noon_peak,1,1,0,0.6,0.415,0,1,Medium
Bakerloo,13,Monday,March,0,noon_peak,1,1,0,0.6,0.415,1,1,High
Bakerloo,14,Monday,March,0,noon_peak,1,1,0,0.6,0.415,0,1,Medium
Bakerloo,14,Monday,March,0,noon_peak,1,1,0,0.6,0.415,1,1,High
Bakerloo,16,Monday,March,0,afternoon,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,16,Monday,March,0,afternoon,1,0,0,0.6,0.415,1,1,High
Bakerloo,17,Monday,March,0,evening_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,17,Monday,March,0,evening_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,18,Monday,March,0,evening_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,18,Monday,March,0,evening_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,19,Monday,March,0,evening_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,19,Monday,March,0,evening_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,20,Monday,March,0,evening_peak,0,0,0,0.6,0.415,0,1,Low
Bakerloo,20,Monday,March,0,evening_peak,0,0,0,0.6,0.415,1,1,Medium
Bakerloo,22,Monday,March,0,night,0,0,0,0.6,0.415,0,1,Low
Bakerloo,22,Monday,March,0,night,0,0,0,0.6,0.415,1,1,Medium
Bakerloo,6,Monday,April,0,night,0,0,0,0.6,0.415,0,1,Low
Bakerloo,6,Monday,April,0,night,0,0,0,0.6,0.415,1,1,Medium
Bakerloo,7,Monday,April,0,morning_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,7,Monday,April,0,morning_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,8,Monday,April,0,morning_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,8,Monday,April,0,morning_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,9,Monday,April,0,morning_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,9,Monday,April,0,morning_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,10,Monday,April,0,morning_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,10,Monday,April,0,morning_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,12,Monday,April,0,noon_peak,1,1,0,0.6,0.415,0,1,Medium
Bakerloo,12,Monday,April,0,noon_peak,1,1,0,0.6,0.415,1,1,High
Bakerloo,13,Monday,April,0,noon_peak,1,1,0,0.6,0.415,0,1,Medium
Bakerloo,13,Monday,April,0,noon_peak,1,1,0,0.6,0.415,1,1,High
Bakerloo,14,Monday,April,0,noon_peak,1,1,0,0.6,0.415,0,1,Medium
Bakerloo,14,Monday,April,0,noon_peak,1,1,0,0.6,0.415,1,1,High
Bakerloo,16,Monday,April,0,afternoon,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,16,Monday,April,0,afternoon,1,0,0,0.6,0.415,1,1,High
Bakerloo,17,Monday,April,0,evening_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,17,Monday,April,0,evening_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,18,Monday,April,0,evening_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,18,Monday,April,0,evening_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,19,Monday,April,0,evening_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,19,Monday,April,0,evening_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,20,Monday,April,0,evening_peak,0,0,0,0.6,0.415,0,1,Low
Bakerloo,20,Monday,April,0,evening_peak,0,0,0,0.6,0.415,1,1,Medium
Bakerloo,22,Monday,April,0,night,0,0,0,0.6,0.415,0,1,Low
Bakerloo,22,Monday,April,0,night,0,0,0,0.6,0.415,1,1,Medium
Bakerloo,6,Monday,May,0,night,0,0,0,0.6,0.415,0,1,Low
Bakerloo,6,Monday,May,0,night,0,0,0,0.6,0.415,1,1,Medium
Bakerloo,7,Monday,May,0,morning_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,7,Monday,May,0,morning_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,8,Monday,May,0,morning_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,8,Monday,May,0,morning_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,9,Monday,May,0,morning_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,9,Monday,May,0,morning_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,10,Monday,May,0,morning_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,10,Monday,May,0,morning_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,12,Monday,May,0,noon_peak,1,1,0,0.6,0.415,0,1,Medium
Bakerloo,12,Monday,May,0,noon_peak,1,1,0,0.6,0.415,1,1,High
Bakerloo,13,Monday,May,0,noon_peak,1,1,0,0.6,0.415,0,1,Medium
Bakerloo,13,Monday,May,0,noon_peak,1,1,0,0.6,0.415,1,1,High
Bakerloo,14,Monday,May,0,noon_peak,1,1,0,0.6,0.415,0,1,Medium
Bakerloo,14,Monday,May,0,noon_peak,1,1,0,0.6,0.415,1,1,High
Bakerloo,16,Monday,May,0,afternoon,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,16,Monday,May,0,afternoon,1,0,0,0.6,0.415,1,1,High
Bakerloo,17,Monday,May,0,evening_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,17,Monday,May,0,evening_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,18,Monday,May,0,evening_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,18,Monday,May,0,evening_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,19,Monday,May,0,evening_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,19,Monday,May,0,evening_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,20,Monday,May,0,evening_peak,0,0,0,0.6,0.415,0,1,Low
Bakerloo,20,Monday,May,0,evening_peak,0,0,0,0.6,0.415,1,1,Medium
Bakerloo,22,Monday,May,0,night,0,0,0,0.6,0.415,0,1,Low
Bakerloo,22,Monday,May,0,night,0,0,0,0.6,0.415,1,1,Medium
Bakerloo,6,Monday,June,0,night,0,0,0,0.6,0.415,0,1,Low
Bakerloo,6,Monday,June,0,night,0,0,0,0.6,0.415,1,1,Medium
Bakerloo,7,Monday,June,0,morning_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,7,Monday,June,0,morning_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,8,Monday,June,0,morning_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,8,Monday,June,0,morning_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,9,Monday,June,0,morning_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,9,Monday,June,0,morning_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,10,Monday,June,0,morning_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,10,Monday,June,0,morning_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,12,Monday,June,0,noon_peak,1,1,0,0.6,0.415,0,1,Medium
Bakerloo,12,Monday,June,0,noon_peak,1,1,0,0.6,0.415,1,1,High
Bakerloo,13,Monday,June,0,noon_peak,1,1,0,0.6,0.415,0,1,Medium
Bakerloo,13,Monday,June,0,noon_peak,1,1,0,0.6,0.415,1,1,High
Bakerloo,14,Monday,June,0,noon_peak,1,1,0,0.6,0.415,0,1,Medium
Bakerloo,14,Monday,June,0,noon_peak,1,1,0,0.6,0.415,1,1,High
Bakerloo,16,Monday,June,0,afternoon,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,16,Monday,June,0,afternoon,1,0,0,0.6,0.415,1,1,High
Bakerloo,17,Monday,June,0,evening_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,17,Monday,June,0,evening_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,18,Monday,June,0,evening_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,18,Monday,June,0,evening_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,19,Monday,June,0,evening_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,19,Monday,June,0,evening_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,20,Monday,June,0,evening_peak,0,0,0,0.6,0.415,0,1,Low
Bakerloo,20,Monday,June,0,evening_peak,0,0,0,0.6,0.415,1,1,Medium
Bakerloo,22,Monday,June,0,night,0,0,0,0.6,0.415,0,1,Low
Bakerloo,22,Monday,June,0,night,0,0,0,0.6,0.415,1,1,Medium
Bakerloo,6,Monday,July,0,night,0,0,0,0.6,0.415,0,1,Low
Bakerloo,6,Monday,July,0,night,0,0,0,0.6,0.415,1,1,Medium
Bakerloo,7,Monday,July,0,morning_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,7,Monday,July,0,morning_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,8,Monday,July,0,morning_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,8,Monday,July,0,morning_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,9,Monday,July,0,morning_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,9,Monday,July,0,morning_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,10,Monday,July,0,morning_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,10,Monday,July,0,morning_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,12,Monday,July,0,noon_peak,1,1,0,0.6,0.415,0,1,Medium
Bakerloo,12,Monday,July,0,noon_peak,1,1,0,0.6,0.415,1,1,High
Bakerloo,13,Monday,July,0,noon_peak,1,1,0,0.6,0.415,0,1,Medium
Bakerloo,13,Monday,July,0,noon_peak,1,1,0,0.6,0.415,1,1,High
Bakerloo,14,Monday,July,0,noon_peak,1,1,0,0.6,0.415,0,1,Medium
Bakerloo,14,Monday,July,0,noon_peak,1,1,0,0.6,0.415,1,1,High
Bakerloo,16,Monday,July,0,afternoon,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,16,Monday,July,0,afternoon,1,0,0,0.6,0.415,1,1,High
Bakerloo,17,Monday,July,0,evening_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,17,Monday,July,0,evening_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,18,Monday,July,0,evening_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,18,Monday,July,0,evening_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,19,Monday,July,0,evening_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,19,Monday,July,0,evening_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,20,Monday,July,0,evening_peak,0,0,0,0.6,0.415,0,1,Low
Bakerloo,20,Monday,July,0,evening_peak,0,0,0,0.6,0.415,1,1,Medium
Bakerloo,22,Monday,July,0,night,0,0,0,0.6,0.415,0,1,Low
Bakerloo,22,Monday,July,0,night,0,0,0,0.6,0.415,1,1,Medium
Bakerloo,6,Monday,August,0,night,0,0,0,0.6,0.415,0,1,Low
Bakerloo,6,Monday,August,0,night,0,0,0,0.6,0.415,1,1,Medium
Bakerloo,7,Monday,August,0,morning_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,7,Monday,August,0,morning_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,8,Monday,August,0,morning_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,8,Monday,August,0,morning_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,9,Monday,August,0,morning_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,9,Monday,August,0,morning_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,10,Monday,August,0,morning_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,10,Monday,August,0,morning_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,12,Monday,August,0,noon_peak,1,1,0,0.6,0.415,0,1,Medium
Bakerloo,12,Monday,August,0,noon_peak,1,1,0,0.6,0.415,1,1,High
Bakerloo,13,Monday,August,0,noon_peak,1,1,0,0.6,0.415,0,1,Medium
Bakerloo,13,Monday,August,0,noon_peak,1,1,0,0.6,0.415,1,1,High
Bakerloo,14,Monday,August,0,noon_peak,1,1,0,0.6,0.415,0,1,Medium
Bakerloo,14,Monday,August,0,noon_peak,1,1,0,0.6,0.415,1,1,High
Bakerloo,16,Monday,August,0,afternoon,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,16,Monday,August,0,afternoon,1,0,0,0.6,0.415,1,1,High
Bakerloo,17,Monday,August,0,evening_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,17,Monday,August,0,evening_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,18,Monday,August,0,evening_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,18,Monday,August,0,evening_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,19,Monday,August,0,evening_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,19,Monday,August,0,evening_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,20,Monday,August,0,evening_peak,0,0,0,0.6,0.415,0,1,Low
Bakerloo,20,Monday,August,0,evening_peak,0,0,0,0.6,0.415,1,1,Medium
Bakerloo,22,Monday,August,0,night,0,0,0,0.6,0.415,0,1,Low
Bakerloo,22,Monday,August,0,night,0,0,0,0.6,0.415,1,1,Medium
Bakerloo,6,Monday,September,0,night,0,0,0,0.6,0.415,0,1,Low
Bakerloo,6,Monday,September,0,night,0,0,0,0.6,0.415,1,1,Medium
Bakerloo,7,Monday,September,0,morning_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,7,Monday,September,0,morning_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,8,Monday,September,0,morning_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,8,Monday,September,0,morning_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,9,Monday,September,0,morning_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,9,Monday,September,0,morning_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,10,Monday,September,0,morning_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,10,Monday,September,0,morning_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,12,Monday,September,0,noon_peak,1,1,0,0.6,0.415,0,1,Medium
Bakerloo,12,Monday,September,0,noon_peak,1,1,0,0.6,0.415,1,1,High
Bakerloo,13,Monday,September,0,noon_peak,1,1,0,0.6,0.415,0,1,Medium
Bakerloo,13,Monday,September,0,noon_peak,1,1,0,0.6,0.415,1,1,High
Bakerloo,14,Monday,September,0,noon_peak,1,1,0,0.6,0.415,0,1,Medium
Bakerloo,14,Monday,September,0,noon_peak,1,1,0,0.6,0.415,1,1,High
Bakerloo,16,Monday,September,0,afternoon,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,16,Monday,September,0,afternoon,1,0,0,0.6,0.415,1,1,High
Bakerloo,17,Monday,September,0,evening_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,17,Monday,September,0,evening_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,18,Monday,September,0,evening_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,18,Monday,September,0,evening_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,19,Monday,September,0,evening_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,19,Monday,September,0,evening_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,20,Monday,September,0,evening_peak,0,0,0,0.6,0.415,0,1,Low
Bakerloo,20,Monday,September,0,evening_peak,0,0,0,0.6,0.415,1,1,Medium
Bakerloo,22,Monday,September,0,night,0,0,0,0.6,0.415,0,1,Low
Bakerloo,22,Monday,September,0,night,0,0,0,0.6,0.415,1,1,Medium
Bakerloo,6,Monday,October,0,night,0,0,0,0.6,0.415,0,1,Low
Bakerloo,6,Monday,October,0,night,0,0,0,0.6,0.415,1,1,Medium
Bakerloo,7,Monday,October,0,morning_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,7,Monday,October,0,morning_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,8,Monday,October,0,morning_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,8,Monday,October,0,morning_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,9,Monday,October,0,morning_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,9,Monday,October,0,morning_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,10,Monday,October,0,morning_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,10,Monday,October,0,morning_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,12,Monday,October,0,noon_peak,1,1,0,0.6,0.415,0,1,Medium
Bakerloo,12,Monday,October,0,noon_peak,1,1,0,0.6,0.415,1,1,High
Bakerloo,13,Monday,October,0,noon_peak,1,1,0,0.6,0.415,0,1,Medium
Bakerloo,13,Monday,October,0,noon_peak,1,1,0,0.6,0.415,1,1,High
Bakerloo,14,Monday,October,0,noon_peak,1,1,0,0.6,0.415,0,1,Medium
Bakerloo,14,Monday,October,0,noon_peak,1,1,0,0.6,0.415,1,1,High
Bakerloo,16,Monday,October,0,afternoon,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,16,Monday,October,0,afternoon,1,0,0,0.6,0.415,1,1,High
Bakerloo,17,Monday,October,0,evening_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,17,Monday,October,0,evening_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,18,Monday,October,0,evening_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,18,Monday,October,0,evening_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,19,Monday,October,0,evening_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,19,Monday,October,0,evening_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,20,Monday,October,0,evening_peak,0,0,0,0.6,0.415,0,1,Low
Bakerloo,20,Monday,October,0,evening_peak,0,0,0,0.6,0.415,1,1,Medium
Bakerloo,22,Monday,October,0,night,0,0,0,0.6,0.415,0,1,Low
Bakerloo,22,Monday,October,0,night,0,0,0,0.6,0.415,1,1,Medium
Bakerloo,6,Monday,November,0,night,0,0,0,0.6,0.415,0,1,Low
Bakerloo,6,Monday,November,0,night,0,0,0,0.6,0.415,1,1,Medium
Bakerloo,7,Monday,November,0,morning_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,7,Monday,November,0,morning_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,8,Monday,November,0,morning_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,8,Monday,November,0,morning_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,9,Monday,November,0,morning_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,9,Monday,November,0,morning_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,10,Monday,November,0,morning_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,10,Monday,November,0,morning_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,12,Monday,November,0,noon_peak,1,1,0,0.6,0.415,0,1,Medium
Bakerloo,12,Monday,November,0,noon_peak,1,1,0,0.6,0.415,1,1,High
Bakerloo,13,Monday,November,0,noon_peak,1,1,0,0.6,0.415,0,1,Medium
Bakerloo,13,Monday,November,0,noon_peak,1,1,0,0.6,0.415,1,1,High
Bakerloo,14,Monday,November,0,noon_peak,1,1,0,0.6,0.415,0,1,Medium
Bakerloo,14,Monday,November,0,noon_peak,1,1,0,0.6,0.415,1,1,High
Bakerloo,16,Monday,November,0,afternoon,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,16,Monday,November,0,afternoon,1,0,0,0.6,0.415,1,1,High
Bakerloo,17,Monday,November,0,evening_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,17,Monday,November,0,evening_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,18,Monday,November,0,evening_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,18,Monday,November,0,evening_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,19,Monday,November,0,evening_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,19,Monday,November,0,evening_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,20,Monday,November,0,evening_peak,0,0,0,0.6,0.415,0,1,Low
Bakerloo,20,Monday,November,0,evening_peak,0,0,0,0.6,0.415,1,1,Medium
Bakerloo,22,Monday,November,0,night,0,0,0,0.6,0.415,0,1,Low
Bakerloo,22,Monday,November,0,night,0,0,0,0.6,0.415,1,1,Medium
Bakerloo,6,Monday,December,0,night,0,0,0,0.6,0.415,0,1,Low
Bakerloo,6,Monday,December,0,night,0,0,0,0.6,0.415,1,1,Medium
Bakerloo,7,Monday,December,0,morning_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,7,Monday,December,0,morning_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,8,Monday,December,0,morning_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,8,Monday,December,0,morning_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,9,Monday,December,0,morning_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,9,Monday,December,0,morning_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,10,Monday,December,0,morning_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,10,Monday,December,0,morning_peak,1,0,0,0.6,0.415,1,1,High
